Rank,Name,Net Worth $B,Age,Country/Territory,Source,Industries
1,JEFF BEZOS,113,56.0,United States,Amazon,Technology
2,BILL GATES,98,64.0,United States,Microsoft,Technology
3,BERNARD ARNAULT & FAMILY,76,71.0,France,LVMH,Fashion & Retail
4,WARREN BUFFETT,67.5,89.0,United States,Berkshire Hathaway,Finance & Investments
5,LARRY ELLISON,59,75.0,United States,software,Technology
6,AMANCIO ORTEGA,55.1,84.0,Spain,Zara,Fashion & Retail
7,MARK ZUCKERBERG,54.7,35.0,United States,Facebook,Technology
8,JIM WALTON,54.6,71.0,United States,Walmart,Fashion & Retail
9,ALICE WALTON,54.4,70.0,United States,Walmart,Fashion & Retail
10,ROB WALTON,54.1,75.0,United States,Walmart,Fashion & Retail
11,STEVE BALLMER,52.7,64.0,United States,Microsoft,Technology
12,CARLOS SLIM HELU & FAMILY,52.1,80.0,Mexico,telecom,Telecom
13,LARRY PAGE,50.9,47.0,United States,Google,Technology
14,SERGEY BRIN,49.1,46.0,United States,Google,Technology
15,FRANCOISE BETTENCOURT MEYERS & FAMILY,48.9,66.0,France,L'Oreal,Fashion & Retail
16,MICHAEL BLOOMBERG,48,78.0,United States,Bloomberg LP,Media & Entertainment
17,JACK MA,38.8,55.0,China,e-commerce,Technology
18,CHARLES KOCH,38.2,84.0,United States,Koch Industries,Diversified
18,JULIA KOCH & FAMILY,38.2,57.0,United States,Koch Industries,Diversified
20,MA HUATENG,38.1,48.0,China,internet media,Technology
21,MUKESH AMBANI,36.8,62.0,India,"petrochemicals, oil & gas",Energy
22,MACKENZIE SCOTT,36,50.0,United States,Amazon.com,Technology
23,BEATE HEISTER & KARL ALBRECHT JR.,33.3,,Germany,supermarkets,Fashion & Retail
24,DAVID THOMSON & FAMILY,31.6,62.0,Canada,media,Media & Entertainment
25,PHIL KNIGHT & FAMILY,29.5,82.0,United States,Nike,Fashion & Retail
26,LEE SHAU KEE,28.1,92.0,Hong Kong,real estate,Real Estate
